"drug","effect","mg_kg_d"
"lenvatinib","dysgeusia",0.221009549795362
"lenvatinib","insomnia",0.221009549795362
"lenvatinib","alopecia",0.221009549795362
"lenvatinib","hyperkeratosis",0.221009549795362
"lenvatinib","hypotension",0.221009549795362
"lenvatinib","qt prolongation",0.221009549795362
"lenvatinib","hyperglycemia",0.221009549795362
"lenvatinib","hypoalbuminemia",0.221009549795362
"lenvatinib","hypocalcemia",0.221009549795362
"lenvatinib","hypernatremia",0.221009549795362
"lenvatinib","hypokalemia",0.221009549795362
"lenvatinib","hypoatremia",0.221009549795362
"lenvatinib","hypomagnesemia",0.221009549795362
"lenvatinib","hypoglycemia",0.221009549795362
"lenvatinib","hypertriglyceridemia",0.221009549795362
"lenvatinib","bilirubin increase",0.221009549795362
"lenvatinib","hypercalcemia",0.221009549795362
"lenvatinib"," lipase increase",0.221009549795362
"lenvatinib","high cholesterol",0.221009549795362
"lenvatinib","serum amylase increase",0.221009549795362
"lenvatinib","platelet decrease",0.221009549795362
"lenvatinib","hemoglobin increase",0.221009549795362
"letermovir","renal failure",0.75
"letermovir","insomnia",0.75
"letermovir","costipation",0.75
"letermovir","vomiting",1.5
"letermovir","fatigue",1.5
"letermovir","cough",1.5
"letermovir","acute gvhd in skin",1.5
"letermovir","renal failure",1.5
"letermovir","insomnia",1.5
"letermovir","costipation",1.5
"letermovir","headache",3
"letermovir","decreased appetite",3
"letermovir","pruritis",3
"letermovir","insomnia",3
"letermovir","constipation",3
"letermovir","vomiting",3
"letermovir","edema peripheral",3
"letermovir","cough",3
"letermovir","acute gvhd in skin",3
"levetiracetam","asthenia",25
"levetiracetam","infection",25
"levetiracetam","somnolence",25
"levetiracetam","change in rbc",25
"levetiracetam","hemoglobin",25
"levetiracetam","hematocrit",25
"levetiracetam","dizziness",25
"levocetirizine","somnolence",0.03125
"levocetirizine","headache",0.0625
"levocetirizine","somnolence",0.0625
"levocetirizine","headache",0.125
"levocetirizine","somnolence",0.125
"linagliptin","na",NA
"lisdexamfetamine","headache",0.919842312746387
"lisdexamfetamine","upper respiratory tract infection",0.919842312746387
"loratadine","no effects meet criteria",NA
"lorcaserin","headache",0.193050193050193
"lorcaserin","hypoglycemia",0.193050193050193
"lorcaserin","dizziness",0.193050193050193
"lorcaserin","change in pr interval",0.193050193050193
"lorcaserin","headache",0.0965250965250965
"lorcaserin","hypoglycemia",0.0965250965250965
"lorcaserin","change in pr interval",0.0965250965250965
"lovastatin","no effects meet criteria",NA
"macitentan","anemia",0.0443786982248521
"macitentan","respiratory infection",0.0443786982248521
"macitentan","nasopharyngitis",0.0443786982248521
"macitentan","low hematocrit",0.14903129657228
"macitentan","leukocytes",0.14903129657228
"macitentan","and platelets",0.14903129657228
"macitentan","anemia",0.14903129657228
"macitentan","respiratory infection",0.14903129657228
"maraviroc","liver-related adverse effects",3.75
"maraviroc","upper respiratory infection",3.75
"maraviroc","candida infection",3.75
"maraviroc","herpes simplex infection",3.75
"maraviroc","influenza",3.75
"maraviroc","total herpes",3.75
"maraviroc","creatinine elevation",3.75
"maraviroc","cpk elevation",3.75
"maraviroc","amylase/lipase elevation",3.75
"maraviroc","fasting total cholesterol",3.75
"maraviroc","triglyceride increase",3.75
"maraviroc","ldl cholesterol",3.75
"maraviroc","fasting triglyceride level",3.75
"maraviroc","liver-related adverse effects",3.75
"maraviroc","upper respiratory infection",3.75
"maraviroc","candida infection",3.75
"maraviroc","herpes simplex infection",3.75
"maraviroc","influenza",3.75
"maraviroc","total herpes",3.75
"maraviroc","fasting triglyceride level",3.75
"maraviroc","ALT increase",3.75
"maraviroc","creatinine elevation",3.75
"maraviroc","cpk elevation",3.75
"maraviroc","fasting total cholesterol",3.75
"maraviroc","ldl cholesterol",3.75
"melatonin","no effects meet criteria",NA
"meloxicam","ALT increase",0.0625
"meloxicam","AST increase",0.0625
"meloxicam","blood urea nitrogen change",0.0625
"meloxicam","bilirubin increase",0.0625
"memantine","dizziness",0.665409781523788
"memantine","fatigue",0.665409781523788
"memantine","headache",0.665409781523788
"memantine","upper respiratory tract infection",0.665409781523788
"memantine","nasopharyngitis",0.665409781523788
"memantine","back pain",0.665409781523788
"mesalamine","no effects meet criteria",NA
"methylnaltrexone","na",NA
"metoprolol","hypotension",2.55754475703325
"metoprolol","bradycardia",2.55754475703325
"metoprolol","fatigue",2.55754475703325
"metoprolol","dizziness",2.55754475703325
"metoprolol","non-specific dyspnea",2.55754475703325
"metoprolol","blurred vision",2.55754475703325
"metoprolol","increase cholesterol",2.55754475703325
"metoprolol","increase triglycerides",2.55754475703325
"midostaurin","hemoglobin decrease",2.5
"midostaurin","dermatitis exfoliative",2.5
"midostaurin","qtcf abnormalities",2.5
"midostaurin","device related infection",2.5
"miglustat","headache",62.5
"miglustat","dizziness",62.5
"miglustat","diarrhea",62.5
"miglustat","flatulence",62.5
"miglustat","abdominal pain",62.5
"miglustat","nausea",62.5
"miglustat","fever",62.5
"miglustat","fatigue",62.5
"miltefosine","motion sickess",0.0588235294117647
"miltefosine","diarrhea",0.0588235294117647
"miltefosine","nausea",0.0588235294117647
"miltefosine","vomiting",0.0588235294117647
"miltefosine","pain at lesion",0.0588235294117647
"miltefosine","pyrexia",0.0588235294117647
"miltefosine","decreased appetite",0.0588235294117647
"miltefosine","dizziness",0.0588235294117647
"miltefosine","headache",0.0588235294117647
"miltefosine","cr increase",0.0588235294117647
"miltefosine","ALT increase",0.0588235294117647
"miltefosine","ap increase",0.0588235294117647
"mirabegron","no effects meet criteria",NA
"modafinil","headache",2.5
"modafinil","nausea",2.5
"montelukast","no effects meet criteria",NA
"naldemedine","abdominal pain",0.0025
"naldemedine","diarrhea",0.0025
"naloxegol","abdominal pain",0.3125
"nateglinide","hypoglycemia",1.5
"nebivolol","increase cholesterol",0.015625
"nebivolol","increase triglycerides",0.015625
"nebivolol","bradycardia",0.015625
"nicardipine","pedal edema",1.125
"nilutamide","visual disturbances",3.75
"nilutamide","nausea",3.75
"nilutamide","vomiting",3.75
"nilutamide","dyspnea",3.75
"nilutamide","AST increase",3.75
"nilutamide","ALT increase",3.75
"nintedanib","abdominal pain",3.75
"nintedanib","liver enzyme elevation",3.75
"nintedanib","diarrhea",3.75
"nintedanib","nausea",3.75
"nintedanib","vomiting",3.75
"nintedanib","decreased appetite",3.75
"nintedanib","weight decrease",3.75
"nitazoxanide","no effects meet criteria",NA
"nomifensine","weight decrease",2.5
"nomifensine","eosinophilia",2.5
"nomifensine","dry mouth",2.5
"nomifensine","elevated urine wbc",2.5
"obeticholic","pruritis",0.140845070422535
"obeticholic","fatigue",0.140845070422535
"obeticholic","pyrexia",0.140845070422535
"obeticholic","sinusitis",0.140845070422535
"obeticholic","arthralgia",0.140845070422535
"obeticholic","oropharyngeal pain",0.140845070422535
"obeticholic","palpitations",0.140845070422535
"olaparib","anemia",10
"olaparib","decreased appetite",10
"olaparib","nausea",10
"olaparib","vomiting",10
"olaparib","diarrhea",10
"olaparib","dyspepsia",10
"olaparib","dysgeusia",10
"olaparib","fatigue",10
"olaparib","nasopharyngitis/pharyngitis/uri",10
"olaparib","arthralgia/musculoskeletal pain",10
"olaparib","myalgia",10
"olaparib","headache",10
"olaparib","cough",10
"olaparib","dermatitis/rash",10
"olaparib","hemoglobin decrease",10
"olaparib","decrease absolute neutrophil count",10
"olaparib","decrease platelet count",10
"olaparib","mean corpuscular volume elevation",10
"olaparib","increase in creatinine",10
"olaparib","blood pressure change",10
"olaparib","pulse rate change",10
"olmesartan","dizziness",0.24390243902439
"olmesartan","headache",0.24390243902439
"omega-3-acid","no effects meet criteria",NA
"orlistat","abdominal pain",2.25
"orlistat","fecal urgency",2.25
"orlistat","oily spotting",2.25
"orlistat","flatus with discharge",2.25
"orlistat","fatty/oily stool",2.25
"orlistat","oily evacuation",2.25
"orlistat","abdominal pain",4.5
"orlistat","fecal urgency",4.5
"orlistat","oily spotting",4.5
"orlistat","flatus with discharge",4.5
"orlistat","fatty/oily stool",4.5
"orlistat","oily evacuation",4.5
"orlistat","liquid stools",4.5
"orlistat","increased defecation",4.5
"oseltamivir","vomiting",1.875
"oseltamivir","nausea",1.875
"oseltamivir","headache",1.875
"oseltamivir","vomiting",3.75
"oseltamivir","nausea",3.75
"osimertinib","diarrhea",1.25195618153365
"osimertinib","paronychia",1.25195618153365
"osimertinib","dry skin",1.25195618153365
"osimertinib","pruiritis",1.25195618153365
"osimertinib","cough",1.25195618153365
"osimertinib","stomatitis",1.25195618153365
"osimertinib","decreased appetite",1.25195618153365
"osimertinib","mouth ulceration",1.25195618153365
"osimertinib","dermatitis acneiform",1.25195618153365
"osimertinib","blood creatinine increase",1.25195618153365
"oxcarbazepine","headache",7.5
"oxcarbazepine","somnolence",7.5
"oxcarbazepine","dizziness",7.5
"oxcarbazepine","headache",15
"oxcarbazepine","somnolence",15
"oxcarbazepine","dizziness",15
"oxcarbazepine","diarrhea",15
"oxcarbazepine","apathy",15
"oxcarbazepine","weight increase",15
"oxcarbazepine","arthralgia",15
"oxcarbazepine","acne",15
"oxcarbazepine","tremor",15
"oxcarbazepine","alopecia",15
"oxcarbazepine","trauma",15
"oxcarbazepine","decrease sodium",15
"oxcarbazepine","decrease t4",15
"oxcarbazepine","decrease uric acid",15
"paliperidone","akathisia",0.15
"paliperidone","nervous system disorders",0.15
"paliperidone","tachycardia",0.15
"paliperidone","nervous system disorders",0.1125
"paliperidone","headache",0.1125
"paliperidone","orthostatic hypotension",0.1125
"paliperidone","akathisia",0.1875
"paliperidone","nervous system disorders",0.1875
"paliperidone","extrapyrimidal disorder",0.1875
"paliperidone","headache",0.1875
"paliperidone","tachycardia",0.1875
"paliperidone","orthostatic hypotension",0.1875
"paliperidone","weight increase",0.1875
"patiromer","flatulence",372.5
"patiromer","constipation",372.5
"patiromer","blood urea increase",372.5
"pazopanib","hemorrhage",10
"pazopanib","diarrhea",10
"pazopanib","hypertension",10
"pazopanib","hair color change",10
"pazopanib","nausea/vomiting",10
"pazopanib","abdominal pain/discomfort",10
"pazopanib","fatigue",10
"pazopanib","rash",10
"pazopanib","proteinuria",10
"pazopanib","weight decrease",10
"pazopanib","dysguesia",10
"pazopanib","alopecia",10
"pazopanib","chest pain",10
"pazopanib","hyponatremia",10
"pazopanib","hypophosphatemia",10
"pazopanib","hypomagnesemia",10
"pazopanib","hypoglycemia",10
"pazopanib","anemia",10
"pazopanib","neutropenia",10
"pazopanib","thrombocytopenia",10
"pazopanib","ALT increase",10
"pazopanib","AST increase",10
"pazopanib","bilirubin increase",10
"pazopanib","tsh increase",10
"perampanel","dizziness",0.05
"perampanel","irritability",0.15
"perampanel","ataxia",0.15
"perampanel","dizziness",0.15
"perampanel","fatigue",0.15
"perampanel","somnolence",0.15
"perampanel","cholesterol increase",0.15
"pimavanserin","no effects meet criteria",NA
"pimozide","dry mouth",0.25
"pimozide","diarrhea",0.25
"pimozide","thirst",0.25
"pimozide","appetite increase",0.25
"pimozide","constipation",0.25
"pimozide","muscle tightness",0.25
"pimozide","stooped posture",0.25
"pimozide","drowsiness",0.25
"pimozide","sedation",0.25
"pimozide","akathisia",0.25
"pimozide","rigidity",0.25
"pimozide","speech disorder",0.25
"pimozide","akinesia",0.25
"pimozide","adverse behavior effect",0.25
"pimozide","visual disturbance",0.25
"pimozide","decreased accommodation",0.25
"pimozide","impotence",0.25
"pimozide","handwriting change",0.25
"pimozide","nervous",0.25
"pimozide","taste changes",0.25
"pimozide","sensitivity to light",0.25
"pioglitazone","weight increase",0.375
"pioglitazone","hypercholesteremia",0.375
"pioglitazone","anemia",0.375
"pioglitazone","peripheral edema",0.375
"pioglitazone","decrease hematocrit",0.375
"pioglitazone","hemoglobin decrease",0.375
"pioglitazone","decrease red blood cell count",0.375
"pirfenidone","rash",14.9625
"pirfenidone","anorexia",14.9625
"pirfenidone","dizziness",14.9625
"pirfenidone","fatigue",14.9625
"pirfenidone","weight decrease",14.9625
"pirfenidone","supraventricular tachyarrhythmia",14.9625
"pirfenidone","diarrhea",14.9625
"pirfenidone","nausea",14.9625
"pirfenidone","dyspepsia",14.9625
"pirfenidone","gastroesophageal reflux disease",14.9625
"pirfenidone","vomiting",14.9625
"pirfenidone","weight decrease",14.9625
"pirfenidone","photosensitivity reaction",14.9625
"pirfenidone","back pain",14.9625
"pirfenidone","cough",14.9625
"pirfenidone","insomnia
",14.9625
"pirfenidone","nausea",30.0375
"pirfenidone","rash",30.0375
"pirfenidone","anorexia",30.0375
"pirfenidone","decreased appetite",30.0375
"pirfenidone","dizziness",30.0375
"pirfenidone","fatigue",30.0375
"pirfenidone","weight decrease",30.0375
"pirfenidone","diarrhea",30.0375
"pirfenidone","dyspepsia",30.0375
"pirfenidone","gastroesophageal reflux disease",30.0375
"pirfenidone","vomiting",30.0375
"pirfenidone","stomach discomfort",30.0375
"pirfenidone","photosensitivity reaction",30.0375
"pitavastatin","ALT increase",0.2
"pitavastatin","AST increase",0.2
"pitavastatin","myalgia",0.2
"pitavastatin","cpk increase",0.2
"pitavastatin","rhabdomyolysis",0.4
"pitavastatin","ALT increase",0.4
"pitavastatin","AST increase",0.4
"pitavastatin","myalgia,cpk increase",0.4
"pitavastatin","glucose increase",0.4
"pitavastatin","blood urine",0.4
"pitavastatin","fatigue",0.8
"pitavastatin","ALT increase",0.8
"pitavastatin","AST increase",0.8
"pitavastatin","AST increase",0.8
"pitavastatin","myalgia",0.8
"pitavastatin","myopathy",0.8
"pitavastatin","rhabdomyolysis",0.8
"pitavastatin","cpk increase",0.8
"pitavastatin","hypokalemia",0.8
"pitavastatin","glucose increase",0.8
"pitavastatin","nausea",0.8
"pitavastatin","blood urine",0.8
"pitavastatin","musculoskeletal weakness",0.8
"pitavastatin","headache",0.8
"plecanatide","no effects meet criteria",NA
"ponesimod","headache",0.125
"ponesimod","ALT increase",0.125
"ponesimod","lymphocyte decrease",0.125
"ponesimod","increase blood pressure",0.125
"ponesimod","dyspnea",0.25
"ponesimod","ALT increase",0.25
"ponesimod","lymphocyte decrease",0.25
"ponesimod","increase blood pressure",0.25
"ponesimod","dyspnea",0.5
"ponesimod","dizziness",0.5
"ponesimod","ALT increase",0.5
"ponesimod","lymphocyte decrease",0.5
"ponesimod","increase blood pressure",0.5
"ponesimod","peripheral edema",0.5
"ponesimod","migraine",0.5
"pramipexole","nausea",0.075
"pramipexole","constipation",0.075
"pramipexole","somnolence",0.075
"pramipexole","insomnia",0.075
"pramipexole","hallucination",0.075
"pramipexole","creatine phosphokinase increase",0.075
"pravastatin","no effects meet criteria",NA
"prednisone","glucose abnormal",0.0625
"prednisone","cholesterol abnormal",0.0625
"pregabalin","peripheral edema",3.75
"pregabalin","dizziness",3.75
"pregabalin","somnolence",3.75
"pregabalin","weight increase",3.75
"pregabalin","dry mouth",7.5
"pregabalin","peripheral edema",7.5
"pregabalin","weight increase",7.5
"pregabalin","dizziness",7.5
"pregabalin","somnolence",7.5
"pregabalin","weight increase",7.5
"pretomanid","headache",NA
"pretomanid","dizziness",NA
"pretomanid","nausea",NA
"pretomanid","diarrhea",NA
"pretomanid","hemoglobin decrease",NA
"pretomanid","dermatitis contact",NA
"progesterone","dizziness",3.75
"progesterone","fatigue",3.75
"quetiapine","dry mouth",6.575
"quetiapine","weight increase",6.575
"quetiapine","somnolence",6.575
"quetiapine","dizziness",6.575
"quetiapine","thyroid hormone change",6.575
"quetiapine","eosinophilia",6.575
"quetiapine","mean vital sign parameters",6.575
"rabeprazole","no effects meet criteria",NA
"raloxifene","vasodilation",0.75
"raloxifene","leg cramps,dehydration",0.75
"raloxifene","deep thrombophlebitis",0.75
"raloxifene","decrease in calcium",0.75
"raloxifene","decrease in serum phosphorus",0.75
"raloxifene","increase in serum uric acid",0.75
"raloxifene","cpk decrease",0.75
"raloxifene","alkaline phosphatase decrease",0.75
"raloxifene","hemoglobin decrease",0.75
"raloxifene","hematocrit decrease",0.75
"raloxifene","platelet count decrease",0.75
"raltegravir","no effects meet criteria",NA
"ramelteon","somnolence",0.2
"ranolazine","constipation",18.75
"ranolazine","dizziness",18.75
"ranolazine","asthenia",18.75
"ranolazine","headache",18.75
"ranolazine","angina",18.75
"ranolazine","nausea",18.75
"ranolazine","qt interval prolongation",18.75
"ranolazine","t wave morphology changes",18.75
"rasagiline","flu syndrome",0.0128865979381443
"rasagiline","arthralgia",0.0247831474597274
"regorafenib","palmar-plantar erythrodysaesthesia",2
"regorafenib","hepatobiliary disorders",2
"regorafenib","ALT increase",2
"regorafenib","bilirubin increase",2
"regorafenib","hemorrhage",2
"regorafenib","rash",2
"regorafenib","dry skin",2
"regorafenib","alopecia",2
"regorafenib","hypertension",2
"regorafenib","diarrhea",2
"regorafenib","mucositis",2
"regorafenib","proteinuria",2
"regorafenib","asthenia/fatigue",2
"regorafenib","decreased appetite",2
"regorafenib","ppe",2
"regorafenib","weight decrease",2
"regorafenib","infection",2
"regorafenib","dysphonia",2
"regorafenib","pain",2
"regorafenib","fever",2
"regorafenib","anemia",2
"regorafenib","thrombocytopenia",2
"regorafenib","lymphopenia",2
"regorafenib","increased inr",2
"regorafenib","AST increase",2
"regorafenib","ALT increase",2
"regorafenib","alkaline phosphatase increase",2
"regorafenib","hypoalbuminemia",2
"regorafenib","hypocalcemia",2
"regorafenib","hypokalemia",2
"regorafenib","hypophosphatemia",2
"regorafenib","increased lipase",2
"regorafenib","increased amylase",2
"regorafenib","proteinuria",2
"rifaximin","no effects meet criteria",NA
"riociguat","hypotension",0.09375
"riociguat","headache",0.09375
"riociguat","dizziness",0.09375
"riociguat","dyspepsia",0.09375
"riociguat","nasopharyngitis",0.09375
"riociguat","diarrhea",0.09375
"riociguat","vomiting",0.09375
"riociguat","anemia",0.09375
"ripretinib","alopecia",2.0297699594046
"ripretinib","fatigue",2.0297699594046
"ripretinib","nausea",2.0297699594046
"ripretinib","abominal pain",2.0297699594046
"ripretinib","constipation",2.0297699594046
"ripretinib","myalgia",2.0297699594046
"ripretinib","diarrhea",2.0297699594046
"ripretinib","decreased appetite",2.0297699594046
"ripretinib","palmar‐plantar erythrodysaesthesia syndrome",2.0297699594046
"ripretinib","vomiting",2.0297699594046
"ripretinib","headache",2.0297699594046
"ripretinib","weight decrease",2.0297699594046
"ripretinib","arthralgia",2.0297699594046
"ripretinib","bilirubin increase",2.0297699594046
"ripretinib","oedema peripheral",2.0297699594046
"ripretinib","muscle spasms",2.0297699594046
"ripretinib","hypertension",2.0297699594046
"ripretinib","dry skin",2.0297699594046
"ripretinib","dyspnoea",2.0297699594046
"ripretinib","hypophosphataemia",2.0297699594046
"ripretinib","lipase increase",2.0297699594046
"ripretinib","pruritis",2.0297699594046
"ripretinib","stomatitis",2.0297699594046
"ripretinib","decreased neutrophils",2.0297699594046
"ripretinib","decreased platelets",2.0297699594046
"ripretinib","decreased white blood cells",2.0297699594046
"ripretinib","increased triglycerides",2.0297699594046
"ripretinib","increased lipase",2.0297699594046
"ripretinib","decreased phosphorus",2.0297699594046
"ripretinib","decreased calcium",2.0297699594046
"ripretinib","increased creatine kinase",2.0297699594046
"ripretinib","decreased sodium",2.0297699594046
"ripretinib","increased amylase",2.0297699594046
"ripretinib","decreased potassium",2.0297699594046
"ripretinib","increased magnesium",2.0297699594046
"ripretinib","increased activated partial thromboplastin time",2.0297699594046
"risedronate","abdominal pain",0.0625
"risedronate","anxiety",0.0625
"risedronate","back pain",0.0625
"risedronate","arthralgia",0.0625
"ritonavir","elevated triglycerides",15
"ritonavir","elevated cholesterol",15
"ritonavir","ALT increase",15
"ritonavir","elevated uric acid",15
"ritonavir","elevated cpk",15
"ritonavir","bilirubin increase",15
"rivastigmine","dizziness",0.15
"rivastigmine","headache",0.15
"rivastigmine","nausea",0.15
"rivastigmine","vomitting",0.15
"rivastigmine","diarrhea",0.15
"rivastigmine","anorexia",0.15
"rivastigmine","abdominal pain",0.15
"rivastigmine","dyspepsia",0.15
"rofecoxib","hypertension",0.625
"rofecoxib","increased blood pressure",0.625
"rofecoxib","edema",0.625
"rofecoxib","blood urea nitrogen change",0.625
"rofecoxib","serum creatinine",0.625
"rofecoxib","hyperkalemia",0.625
"rofecoxib","proteinuria",0.625
"ropinirole","nausea",0.1875
"ropinirole","dizziness",0.1875
"ropinirole","somnolence; et patients: asthenia",0.1875
"ropinirole","fatigue",0.1875
"ropinirole","syncope",0.1875
"ropinirole","dyspepsia",0.1875
"ropinirole","nausea",0.1875
"ropinirole","somnolence",0.1875
"ropinirole","infection viral,; at patients: dyskinesia",0.1875
"rosiglitazone","weight increase",0.1
"rosiglitazone","hyperlipidemia",0.1
"rosuvastatin","cardiac disorders",0.5
"rosuvastatin","angina pectoris",0.5
"ruxolitinib","thrombocytopenia",0.375
"ruxolitinib","anemia",0.375
"ruxolitinib","headache",0.375
"ruxolitinib","dizziness",0.375
"ruxolitinib","confusion",0.375
"sapropterin","headache",20
"sapropterin","rhinorrhea",20
"sapropterin","cough",20
"sapropterin","pharyngolaryngeal pain",20
"sapropterin","vomitting",20
"sapropterin","diarrhea",20
"saxagliptin","infections and infestations",0.03125
"saxagliptin","skin and subcutaneous tissue disorders",0.125
"saxagliptin","infections and infestations",0.125
"saxagliptin","headache",0.125
"sildenafil","headache",0.75
"sildenafil","dyspepsia",0.75
"sildenafil","flushing",0.75
"sildenafil","diarrhea",0.75
"sildenafil","nausea",0.75
"sildenafil","epistaxis",0.75
"sildenafil","headache",3
"sildenafil","flushing",3
"sildenafil","epistaxis",3
"sildenafil","dyspepsia",3
"sildenafil","flushing",3
"sildenafil","myalgia",3
"sildenafil","fatigue",3
"sildenafil","nasopharyngitis",3
"sildenafil","visual disturbance",3
"sildenafil","photophobia",3
"sildenafil","penile erection",3
"sildenafil","vasodilation",3
"sildenafil","backpain",3
"sildenafil","dizziness",3
"sildenafil","abnormal vision",3
"sildenafil","hemoglobin decrease",3
"sildenafil","hematocrit decrease",3
"sildenafil","rbc decrease",3
"silodosin","retrograde ejaculation",0.1
"simeprevir","pruritis",1.875
"simeprevir","rash",1.875
"simeprevir","bilirubin increase",1.875
"simeprevir","influenza like illness,",1.875
"simvastatin","myopathy with or without rhabdomyolysis",0.5
"sirolimus","arthralgia",0.025
"sirolimus","lymphocele",0.025
"sirolimus","tachycardia",0.025
"sirolimus","constipation",0.025
"sirolimus","ldh increased",0.025
"sirolimus","thrombocytopenia",0.025
"sirolimus","hypercholesterolemia",0.025
"sirolimus","hyperlipemia",0.025
"sirolimus","peripheral edema",0.025
"sirolimus","insomnia",0.025
"sirolimus","epistaxis",0.025
"sirolimus","pain",0.025
"sirolimus","abdominal pain",0.0625
"sirolimus","chest pain",0.0625
"sirolimus","arthralgia",0.0625
"sirolimus","chills",0.0625
"sirolimus","dysuria",0.0625
"sirolimus","facial edema",0.0625
"sirolimus","lymphocele",0.0625
"sirolimus","tachycardia",0.0625
"sirolimus","diarrhea",0.0625
"sirolimus","constipation",0.0625
"sirolimus","anemia",0.0625
"sirolimus","ecchymosis",0.0625
"sirolimus","ldh increased",0.0625
"sirolimus","leukopenia",0.0625
"sirolimus","thrombocytopenia",0.0625
"sirolimus","thrombotic thrombocytopenia purpura",0.0625
"sirolimus","hypercholesterolemia",0.0625
"sirolimus","hyperlipemia",0.0625
"sirolimus","hyperkalemia",0.0625
"sirolimus","peripheral edema",0.0625
"sirolimus","insomnia",0.0625
"sirolimus","epistaxis",0.0625
"sirolimus","rash",0.0625
"sitagliptin","bronchitis",1.14678899082569
"sitagliptin","upper respiratory infection",2.32828870779977
"sitagliptin","nausea",2.32828870779977
"sodium oxybate","headache",112.5
"sodium oxybate","pain",112.5
"sodium oxybate","nausea",112.5
"sodium oxybate","dizziness",112.5
"sodium oxybate","sleep disorder",112.5
"sodium oxybate","incontinence",112.5
"sodium zirconium","blood urea nitrogen change",125
"sodium zirconium","oedema peripheral",187.5
"solifenacin","dry mouth",0.0625
"solifenacin","dry mouth",0.125
"solifenacin","constipation",0.125
"solifenacin","qt prolongation",0.125
"sorafenib","hypertension",10
"sorafenib","rash/ desquamation",10
"sorafenib","hand-foot skin reaction",10
"sorafenib","alopecia",10
"sorafenib","pruritis",10
"sorafenib","diarrhea",10
"sorafenib","hemorrhage",10
"sorafenib","neuropathy",10
"sorafenib","elevated lipase",10
"sorafenib","hypophosphatemia",10
"sorafenib","ALT increase",10
"sorafenib","AST increase",10
"sorafenib","leukopenia",10
"sorafenib","neutropenia",10
"sorafenib","hemoglobin decrease",10
"sunitinib","hypertension",0.625
"sunitinib","elevated creatine kinase",0.625
"sunitinib","cardiac troponin i elevated",0.625
"sunitinib","diarrhea",0.625
"sunitinib","mucositis/stomatitis",0.625
"sunitinib","constipation",0.625
"sunitinib","rash",0.625
"sunitinib","skin discoloration",0.625
"sunitinib","altered taste",0.625
"sunitinib","myalgia/limb pain",0.625
"sunitinib","asthenia",0.625
"sunitinib","ALT increase",0.625
"sunitinib","AST increase",0.625
"sunitinib","bilirubin increase",0.625
"sunitinib","amylase change",0.625
"sunitinib","lipase change",0.625
"sunitinib","decreased lvef",0.625
"sunitinib","creatinine",0.625
"sunitinib","hypokalemia",0.625
"sunitinib","hyponatremia",0.625
"sunitinib","neutropenia",0.625
"sunitinib","leukopenia",0.625
"sunitinib","thrombocytopenia",0.625
"suvorexant","somnolence",0.5
"suvorexant","somnolece by age",0.5
"suvorexant","somnolence by sex",0.5
"tadalafil","headache",0.0625
"tadalafil","headache",0.125
"tadalafil","dyspepsia",0.125
"tamoxifen","thromboembolic events",0.286327845382964
"tamoxifen","cataracts",0.286327845382964
"tamoxifen","invasive endometrial cancer",0.286327845382964
"tamoxifen","hot flashes",0.286327845382964
"tamoxifen","vaginal discharge",0.286327845382964
"tasimelteon","headache",0.25
"tasimelteon","ALT increase",0.25
"tasimelteon","nightmare/abnormal dream",0.25
"tasimelteon","conduction disorder",0.25
"tasimelteon","sleep disorder",0.25
"tasimelteon","upper respiratory tract infection,",0.25
"tecovirimat","no effects meet criteria",NA
"telmisartan","na",NA
"telotristat","ALT increase",10.4529616724739
"telotristat","increased ggt",10.4529616724739
"telotristat","pyrexia",10.4529616724739
"telotristat","AST increase",20.1018493701421
"telotristat","ALT increase",20.1018493701421
"telotristat","increased ggt",20.1018493701421
"telotristat","nausea",20.1018493701421
"telotristat","abdominal pain upper",20.1018493701421
"telotristat","decrease apetite",20.1018493701421
"telotristat","depression",20.1018493701421
"telotristat","influenza",20.1018493701421
"tenofovir","creatine kinase",3.75
"tenofovir","triglyceride",3.75
"tenofovir","ALT increase",3.75
"tenofovir","diarrhea",3.75
"tenofovir","nausea",3.75
"tenofovir","vomiting",3.75
"teriflunomide","diarrhea",0.0875
"teriflunomide","hepatic disorders",0.0875
"teriflunomide","bone marrow disorders",0.0875
"teriflunomide","alopecia",0.0875
"teriflunomide","ALT increase",0.0875
"teriflunomide","AST increase",0.0875
"teriflunomide","nausea",0.175
"teriflunomide","diarrhea",0.175
"teriflunomide","hepatic disorders",0.175
"teriflunomide","bone marrow disorders",0.175
"teriflunomide","hypersensitivity",0.175
"teriflunomide","alopecia",0.175
"teriflunomide","ALT increase",0.175
"teriflunomide","AST increase",0.175
"tetrabenazine","insomnia",0.905
"tetrabenazine","nausea",0.905
"tetrabenazine","sedation or somnolence",0.905
"tetrabenazine","depression",0.905
"tetrabenazine","fatigue",0.905
"tetrabenazine","anxiety",0.905
"tetrabenazine","aggravated restlessness",0.905
"tetrabenazine","ALT increase",0.905
"thalidomide","somnolence",0.625
"thalidomide","teratogenesis",0.625
"thalidomide","drowsiness",0.625
"thalidomide","peripheral neuropathy",0.625
"thalidomide","rash",0.625
"thalidomide","eosinophilia",0.625
"thalidomide","urticaria",0.625
"thalidomide","neutropenia",0.625
"tiagabine","abdominal pain",0.424966799468792
"tiagabine","aphasia",0.424966799468792
