"drug","casrn.x","dtxsid","dtxcid","preferredName","hasStructureImage","smiles","isMarkush","searchName","searchValue","rank","isDuplicate","QSAR_Ready_SMILES","Canonical_SMILES","surr.pod.gen","surr.pod.repdev","pod.gen","lb.gen","ub.gen","cum_freq.gen","pod.repdev","lb.repdev","ub.repdev","cum_freq.repdev","casrn.y","Name","pod.min","pod.min.lb"
"digoxin","20830-75-5","DTXSID5022934","DTXCID502934","Digoxin",1,"C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@@]4(C)[C@H](CC[C@@H]5[C@@H]4C[C@@H](O)[C@]4(C)[C@H](CC[C@]54O)C4=CC(=O)OC4)C3)O[C@@H]2C)O[C@@H]1C",FALSE,"Integrated Source Name","DIGOXIN",16,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dimethyl fumarate","624-49-7","DTXSID4060787","DTXCID20209679","Dimethyl fumarate",1,"COC(=O)\C=C\C(=O)OC",FALSE,"Integrated Source Name","DIMETHYL FUMARATE",16,FALSE,"COC(=O)C=CC(=O)OC","COC(=O)/C=C/C(=O)OC",NA,NA,18.24981962,1.331456043,250.144132,0.742060302,61.08247237,6.764291603,551.583026,0.783829126,"","2-Butenedioic acid (2E)-, 1,4-dimethyl ester",18.24981962,1.331456043
"dofetilide","115256-11-6","DTXSID5046433","DTXCID3026433","Dofetilide",1,"CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1",FALSE,"Approved Name","DOFETILIDE",9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dronedarone hydrochloride","141625-93-6","DTXSID30161779","DTXCID0084270","Dronedarone hydrochloride",1,"Cl.CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2",FALSE,"Approved Name","DRONEDARONE HYDROCHLORIDE",9,FALSE,"CS(=O)(=O)NC1=CC2C(=C(CCCC)OC=2C=C1)C(=O)C1C=CC(=CC=1)OCCCN(CCCC)CCCC","CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1.Cl",NA,NA,14.7591461,1.076786219,202.2986456,0.686137046,54.35842046,6.019668046,490.8639235,0.744665175,"141625-93-6","Dronedarone hydrochloride",14.7591461,1.076786219
"duloxetine hydrochloride","136434-34-9","DTXSID9046443","DTXCID7026443","Duloxetine hydrochloride",1,"Cl.CNCC[C@H](OC1=C2C=CC=CC2=CC=C1)C1=CC=CS1",FALSE,"Integrated Source Name","DULOXETINE HYDROCHLORIDE",16,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dutasteride","164656-23-9","DTXSID8046452","DTXCID6026452","Dutasteride",1,"[H][C@@]12CC[C@H](C(=O)NC3=CC(=CC=C3C(F)(F)F)C(F)(F)F)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])NC(=O)C=C[C@]12C",FALSE,"Approved Name","DUTASTERIDE",9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eliglustat tartrate","928659-70-5","DTXSID50239166","DTXCID70161657","Eliglustat tartrate",1,"O[C@H]([C@@H](O)C(O)=O)C(O)=O.CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@H](O)C1=CC2=C(OCCO2)C=C1.CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@H](O)C1=CC2=C(OCCO2)C=C1",FALSE,"Approved Name","ELIGLUSTAT TARTRATE",9,FALSE,"CCCCCCCC(=O)NC(CN1CCCC1)C(O)C1C=CC2OCCOC=2C=1","CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@H](O)c1ccc2c(c1)OCCO2.CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@H](O)c1ccc2c(c1)OCCO2.O=C(O)[C@H](O)[C@@H](O)C(=O)O",NA,NA,5.978300484,0.436160163,81.94255158,0.386759578,8.599097669,0.952266696,77.65102048,0.135294103,"928659-70-5","Eliglustat tartrate",5.978300484,0.436160163
"eltrombopag olamine","496775-62-3","DTXSID80892349","DTXCID501079506","Eltrombopag olamine",1,"NCCO.NCCO.NCCO.NCCO.CC1=NN(C(=O)\C1=N/NC1=C(O)C(=CC=C1)C1=CC=CC(=C1)C(O)=O)C1=CC=C(C)C(C)=C1",FALSE,"Approved Name","ELTROMBOPAG OLAMINE",9,FALSE,"CC1=CC(=CC=C1C)N1N=C(C)C(N=NC2C=CC=C(C3C=C(C=CC=3)C(O)=O)C=2O)C1=O","CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N\Nc1cccc(-c2cccc(C(=O)O)c2)c1O.NCCO.NCCO.NCCO.NCCO",NA,NA,12.2884321,0.896529802,168.4334007,0.633806849,57.97341006,6.419993095,523.5077709,0.766642937,"496775-62-3","Eltrombopag olamine",12.2884321,0.896529802
"empagliflozin","864070-44-0","DTXSID601026093","DTXCID901510350","Empagliflozin",1,"OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C1=CC(CC2=CC=C(O[C@H]3CCOC3)C=C2)=C(Cl)C=C1",FALSE,"Approved Name","EMPAGLIFLOZIN",9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"enalapril maleate","76095-16-4","DTXSID30896796","DTXCID901326270","Enalapril maleate",1,"OC(=O)\C=C/C(O)=O.CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CCC[C@H]1C(O)=O",FALSE,"Approved Name","ENALAPRIL MALEATE",9,FALSE,"CC(NC(CCC1C=CC=CC=1)C(=O)OCC)C(=O)N1CCCC1C(O)=O","CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O.O=C(O)/C=C\C(=O)O",NA,NA,33.06392576,2.412251993,453.1960963,0.864466941,70.75742227,7.835698503,638.9491383,0.82924328,"76095-16-4","Enalapril maleate",33.06392576,2.412251993
"enzalutamide","915087-33-1","DTXSID10912307","DTXCID301341329","Enzalutamide",1,"CNC(=O)C1=C(F)C=C(C=C1)N1C(=S)N(C(=O)C1(C)C)C1=CC(=C(C=C1)C#N)C(F)(F)F",FALSE,"Approved Name","ENZALUTAMIDE",9,FALSE,"CC1(C)C(=O)N(C(=S)N1C1=CC(F)=C(C=C1)C(=O)NC)C1C=CC(C#N)=C(C=1)C(F)(F)F","CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F",NA,NA,16.3630385,1.193801744,224.2826586,0.713959283,71.37823424,7.904447409,644.5551548,0.831717474,"915087-33-1","Enzalutamide",16.3630385,1.193801744
"eplerenone","107724-20-9","DTXSID2046094","DTXCID0026094","Eplerenone",1,"[H][C@@]12C[C@@]3(C)[C@@]([H])(CC[C@@]33CCC(=O)O3)[C@]3([H])[C@@H](CC4=CC(=O)CC[C@]4(C)[C@@]13O2)C(=O)OC",FALSE,"Integrated Source Name","EPLERENONE",16,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"erlotinib hydrochloride","183319-69-9","DTXSID10171412","DTXCID7093903","Erlotinib hydrochloride",1,"Cl.COCCOC1=C(OCCOC)C=C2C(NC3=CC=CC(=C3)C#C)=NC=NC2=C1",FALSE,"Approved Name","ERLOTINIB HYDROCHLORIDE",9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eszopiclone","138729-47-2","DTXSID8046086","DTXCID6026086","Eszopiclone",1,"CN1CCN(CC1)C(=O)O[C@@H]1N(C(=O)C2=NC=CN=C12)C1=NC=C(Cl)C=C1",FALSE,"Integrated Source Name","ESZOPICLONE",16,FALSE,"CN1CCN(CC1)C(=O)OC1C2=NC=CN=C2C(=O)N1C1C=CC(Cl)=CN=1","CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1",NA,NA,3.772481731,0.275229767,51.70813673,0.203304567,21.93560383,2.429155452,198.0814834,0.468384331,"138729-47-2","Eszopiclone",3.772481731,0.275229767
"everolimus","159351-69-6","DTXSID0040599","DTXCID8020599","Everolimus",1,"[H][C@@]12CC[C@@H](C)[C@@](O)(O1)C(=O)C(=O)N1CCCC[C@@]1([H])C(=O)O[C@@]([H])(CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C2)OC)[C@H](C)C[C@@H]1CC[C@@H](OCCO)[C@@H](C1)OC",FALSE,"Integrated Source Name","EVEROLIMUS",16,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ezetimibe","163222-33-1","DTXSID1044223","DTXCID9024223","Ezetimibe",1,"O[C@@H](CC[C@@H]1[C@H](N(C1=O)C1=CC=C(F)C=C1)C1=CC=C(O)C=C1)C1=CC=C(F)C=C1",FALSE,"Approved Name","EZETIMIBE",9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"famotidine","76824-35-6","DTXSID5023039","DTXCID803039","Famotidine",1,"NC(N)=NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1",FALSE,"Integrated Source Name","FAMOTIDINE",16,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"febuxostat","144060-53-7","DTXSID8048650","DTXCID1028576","Febuxostat",1,"CC(C)COC1=CC=C(C=C1C#N)C1=NC(C)=C(S1)C(O)=O",FALSE,"Approved Name","FEBUXOSTAT",9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fedratinib hydrochloride","1374744-69-0","DTXSID901026309","DTXCID101510544","Fedratinib hydrochloride",1,"O.Cl.Cl.CC1=CN=C(NC2=CC=C(OCCN3CCCC3)C=C2)N=C1NC1=CC(=CC=C1)S(=O)(=O)NC(C)(C)C",FALSE,"Approved Name","FEDRATINIB HYDROCHLORIDE",9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"felbamate","25451-15-4","DTXSID9023041","DTXCID903041","Felbamate",1,"NC(=O)OCC(COC(N)=O)C1=CC=CC=C1",FALSE,"Integrated Source Name","FELBAMATE",16,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fenofibrate","49562-28-9","DTXSID2029874","DTXCID209874","Fenofibrate",1,"CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1",FALSE,"Integrated Source Name","FENOFIBRATE",16,FALSE,"CC(C)OC(=O)C(C)(C)OC1C=CC(=CC=1)C(=O)C1C=CC(Cl)=CC=1","CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1",NA,NA,4.998340311,0.364664997,68.51056748,0.311971216,13.85646156,1.534468775,125.1257308,0.321637747,"49562-28-9","Fenofibrate",4.998340311,0.364664997
"ferric maltol","33725-54-1","DTXSID10955335","DTXCID301510457","Ferric maltol",1,"[Fe+3].[O-]C1=COC=CC1=O.CC1=C([O-])C(=O)C=CO1.CC1=C([O-])C(=O)C=CO1",FALSE,"Approved Name","FERRIC MALTOL",9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fesoterodine fumarate","286930-03-8","DTXSID00904655","DTXCID401513430","Fesoterodine fumarate",1,"OC(=O)\C=C\C(O)=O.CC(C)N(CC[C@H](C1=CC=CC=C1)C1=C(OC(=O)C(C)C)C=CC(CO)=C1)C(C)C",FALSE,"Approved Name","FESOTERODINE FUMARATE",9,FALSE,"CC(C)C(=O)OC1C=CC(CO)=CC=1C(CCN(C(C)C)C(C)C)C1C=CC=CC=1","CC(C)C(=O)Oc1ccc(CO)cc1[C@H](CCN(C(C)C)C(C)C)c1ccccc1.O=C(O)/C=C/C(=O)O",NA,NA,4.7074304,0.343441019,64.52316329,0.287526727,13.29996161,1.472841801,120.1004606,0.305029036,"286930-03-8","Fesoterodine fumarate",4.7074304,0.343441019
"fexofenadine hydrochloride","153439-40-8","DTXSID5048716","DTXCID2028642","Fexofenadine hydrochloride",1,"Cl.CC(C)(C(O)=O)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1",FALSE,"Approved Name","FEXOFENADINE HYDROCHLORIDE",9,FALSE,"CC(C)(C1C=CC(=CC=1)C(O)CCCN1CCC(CC1)C(O)(C1C=CC=CC=1)C1C=CC=CC=1)C(O)=O","CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1.Cl",NA,NA,8.092083929,0.59037592,110.9154695,0.502067221,10.23922903,1.133895343,92.46162954,0.194937361,"153439-40-8","Fexofenadine hydrochloride",8.092083929,0.59037592
"finasteride","98319-26-7","DTXSID3020625","DTXCID50625","Finasteride",1,"CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C",FALSE,"Integrated Source Name","FINASTERIDE",16,FALSE,"CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC21C","CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C",NA,NA,3.8263805,0.279162071,52.44690901,0.208327629,8.830051568,0.977842601,79.73656557,0.142940706,"98319-26-7","Finasteride",3.8263805,0.279162071
"fingolimod hydrochloride","162359-56-0","DTXSID00167364","DTXCID5089855","Fingolimod hydrochloride",1,"Cl.CCCCCCCCC1=CC=C(CCC(N)(CO)CO)C=C1",FALSE,"Approved Name","FINGOLIMOD HYDROCHLORIDE",9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fluoxetine hydrochloride","56296-78-7","DTXSID7020635","DTXCID70635","Fluoxetine hydrochloride",1,"Cl.CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1",FALSE,"Approved Name","FLUOXETINE HYDROCHLORIDE",9,FALSE,"CNCCC(OC1C=CC(=CC=1)C(F)(F)F)C1C=CC=CC=1","CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1.Cl",NA,NA,3.62474621,0.264451394,49.68317569,0.189750017,9.737995517,1.078388591,87.93542282,0.175645369,"","Fluoxetine hydrochloride",3.62474621,0.264451394
"galantamine hydrobromide","1953-04-4","DTXSID4052768","DTXCID001473878","Galantamine hydrobromide",1,"Br.[H][C@]12C[C@@H](O)C=C3CCN(C)CC4=C([C@@H]13)C(O2)=C(OC)C=C4",FALSE,"Expert Validated Synonym","GALANTAMINE HYDROBROMIDE",10,FALSE,"COC1C=CC2CN(C)CCC3=CC(O)CC4OC=1C=2C34","Br.COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C(CCN(C)C2)[C@@H]31",NA,NA,2.355980879,0.171885807,32.29263654,0.083530182,3.703970484,0.41017882,33.4473568,0.041344428,"1953-04-4","Galantamine hydrobromide",2.355980879,0.171885807
"hydrochlorothiazide","58-93-5","DTXSID2020713","DTXCID80713","Hydrochlorothiazide",1,"NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1Cl",FALSE,"Integrated Source Name","HYDROCHLOROTHIAZIDE",16,FALSE,"NS(=O)(=O)C1=CC2=C(C=C1Cl)NCNS2(=O)=O","NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O",6.64334323482056,193.328713727367,NA,NA,NA,0.429712488786687,NA,NA,NA,0.984348427258135,"58-93-5","Hydrochlorothiazide",NA,NA
"hydroxyurea","127-07-1","DTXSID6025438","DTXCID405438","Hydroxyurea",1,"NC(=O)NO",FALSE,"Integrated Source Name","HYDROXYUREA",16,FALSE,"NC(=O)NO","NC(=O)NO",NA,NA,109.3226461,7.975875971,1498.448697,0.98845791,97.86560014,10.83766638,883.7396682,0.904899103,"127-07-1","Hydroxyurea",97.86560014,7.975875971
"ibandronate sodium","138844-81-2","DTXSID8046618","DTXCID6026618","Ibandronate sodium",1,"[Na+].CCCCCN(C)CCC(O)(P(O)(O)=O)P(O)([O-])=O",FALSE,"Approved Name","IBANDRONATE SODIUM",9,FALSE,"CCCCCN(C)CCC(O)(P(O)(O)=O)P(O)(O)=O","CCCCCN(C)CCC(O)(P(=O)([O-])O)P(=O)(O)O.[Na+]",NA,NA,47.00294513,3.429204048,644.253541,0.915953324,137.8618559,15.26686393,1244.911292,0.951254148,"138844-81-2","Ibandronate sodium",47.00294513,3.429204048
"ibuprofen","15687-27-1","DTXSID5020732","DTXCID90732","Ibuprofen",1,"CC(C)CC1=CC=C(C=C1)C(C)C(O)=O",FALSE,"Integrated Source Name","IBUPROFEN",16,FALSE,"CC(C)CC1=CC=C(C=C1)C(C)C(O)=O","CC(C)Cc1ccc(C(C)C(=O)O)cc1",NA,NA,6.400957333,0.466996031,87.73576668,0.414789656,17.53847878,1.942216485,158.3748467,0.403609734,"15687-27-1","Ibuprofen",6.400957333,0.466996031
"iloprost","78919-13-8","DTXSID2041046","DTXCID001333799","Iloprost",1,"[H][C@]12C[C@@H](O)[C@H](\C=C\[C@@H](O)C(C)CC#CC)[C@@]1([H])C\C(C2)=C\CCCC(O)=O",FALSE,"Approved Name","ILOPROST",9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"indomethacin","53-86-1","DTXSID9020740","DTXCID50740","Indomethacin",1,"COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O",FALSE,"Integrated Source Name","INDOMETHACIN",16,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"irbesartan","138402-11-6","DTXSID0023169","DTXCID903169","Irbesartan",1,"CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=NN1",FALSE,"Integrated Source Name","IRBESARTAN",16,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"isavuconazonium sulfate","946075-13-4","DTXSID901026216","DTXCID601510470","Isavuconazonium sulfate",1,"OS([O-])(=O)=O.CNCC(=O)OCC1=C(N=CC=C1)N(C)C(=O)OC(C)[N+]1=CN(CC(O)([C@@H](C)C2=NC(=CS2)C2=CC=C(C=C2)C#N)C2=C(F)C=CC(F)=C2)N=C1",FALSE,"Approved Name","ISAVUCONAZONIUM SULFATE",9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ivabradine hydrochloride","148849-67-6","DTXSID2046913","DTXCID0026913","Ivabradine hydrochloride",1,"Cl.COC1=C(OC)C=C2[C@@H](CN(C)CCCN3CCC4=CC(OC)=C(OC)C=C4CC3=O)CC2=C1",FALSE,"Approved Name","IVABRADINE HYDROCHLORIDE",9,FALSE,"CN(CCCN1CCC2=CC(OC)=C(C=C2CC1=O)OC)CC1CC2=CC(OC)=C(C=C21)OC","COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2.Cl",NA,NA,5.396780302,0.393734069,73.97185028,0.343880601,15.05365759,1.667046628,135.9365736,0.353351736,"148849-67-6","Ivabradine hydrochloride",5.396780302,0.393734069
"lamivudine","134678-17-4","DTXSID7023194","DTXCID001508532","Lamivudine",1,"NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1",FALSE,"Integrated Source Name","LAMIVUDINE",16,FALSE,"NC1C=CN(C2CSC(CO)O2)C(=O)N=1","Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1",NA,NA,6.058565542,0.442016078,83.0427177,0.392282954,29.76913935,3.296643562,268.8193737,0.555673098,"134678-17-4","Lamivudine",6.058565542,0.442016078
"lansoprazole","103577-45-3","DTXSID4023200","DTXCID703200","Lansoprazole",1,"CC1=C(CS(=O)C2=NC3=CC=CC=C3N2)N=CC=C1OCC(F)(F)F",FALSE,"Integrated Source Name","LANSOPRAZOLE",16,FALSE,"CC1C(=CC=NC=1CS(=O)C1NC2=CC=CC=C2N=1)OCC(F)(F)F","Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1",NA,NA,2.84342185,0.207448144,38.97382579,0.120355597,5.392242222,0.597138547,48.69268001,0.059859812,"103577-45-3","Lansoprazole",2.84342185,0.207448144
"lanthanum carbonate","587-26-8","DTXSID30890512","DTXCID201030387","Lanthanum carbonate",1,"[La+3].[La+3].[O-]C([O-])=O.[O-]C([O-])=O.[O-]C([O-])=O",FALSE,"Approved Name","LANTHANUM CARBONATE",9,FALSE,"OC(O)=O","O=C([O-])[O-].O=C([O-])[O-].O=C([O-])[O-].[La+3].[La+3]",NA,NA,12.92093553,0.942675492,177.1029123,0.648452882,102.2873693,11.32733444,923.6688446,0.912498413,"587-26-8","Carbonic acid, lanthanum(3+) salt (3:2)",12.92093553,0.942675492
"leflunomide","75706-12-6","DTXSID9023201","DTXCID103201","Leflunomide",1,"CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F",FALSE,"Integrated Source Name","LEFLUNOMIDE",16,FALSE,"CC1ON=CC=1C(=O)NC1C=CC(=CC=1)C(F)(F)F","Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1",NA,NA,3.892457443,0.283982861,53.35260341,0.214409815,8.521701323,0.943695801,76.95212096,0.132786306,"75706-12-6","Leflunomide",3.892457443,0.283982861
"lenalidomide","191732-72-6","DTXSID8046664","DTXCID6026664","Lenalidomide",1,"NC1=C2CN(C3CCC(=O)NC3=O)C(=O)C2=CC=C1",FALSE,"Approved Name","LENALIDOMIDE",9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lenvatinib mesylate","857890-39-2","DTXSID90235081","DTXCID90157572","Lenvatinib mesylate",1,"CS(O)(=O)=O.COC1=CC2=NC=CC(OC3=CC(Cl)=C(NC(=O)NC4CC4)C=C3)=C2C=C1C(N)=O",FALSE,"Approved Name","LENVATINIB MESYLATE",9,FALSE,"COC1=CC2=NC=CC(OC3=CC(Cl)=C(C=C3)NC(=O)NC3CC3)=C2C=C1C(N)=O","COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O.CS(=O)(=O)O",NA,NA,43.53137647,3.175928061,596.6699183,0.906061526,80.23979387,8.885779223,724.5762424,0.862790512,"857890-39-2","Lenvatinib mesylate",43.53137647,3.175928061
"letermovir","917389-32-3","DTXSID40238683","DTXCID90161174","Letermovir",1,"COC1=CC=CC(=C1)N1CCN(CC1)C1=NC2=C(C=CC=C2F)[C@H](CC(O)=O)N1C1=C(OC)C=CC(=C1)C(F)(F)F",FALSE,"Approved Name","LETERMOVIR",9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"levetiracetam","102767-28-2","DTXSID9023207","DTXCID503207","Levetiracetam",1,"CC[C@H](N1CCCC1=O)C(N)=O",FALSE,"Integrated Source Name","LEVETIRACETAM",16,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"levocetirizine dihydrochloride","130018-87-0","DTXSID30926567","DTXCID201355381","Levocetirizine dihydrochloride",1,"Cl.Cl.OC(=O)COCCN1CCN(CC1)[C@H](C1=CC=CC=C1)C1=CC=C(Cl)C=C1",FALSE,"Approved Name","LEVOCETIRIZINE DIHYDROCHLORIDE",9,FALSE,"OC(=O)COCCN1CCN(CC1)C(C1C=CC=CC=1)C1C=CC(Cl)=CC=1","Cl.Cl.O=C(O)COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1",NA,NA,3.967554812,0.289461756,54.38193776,0.22115162,14.21638877,1.574327225,128.3759225,0.33165649,"130018-87-0","Levocetirizine dihydrochloride",3.967554812,0.289461756
"linagliptin","668270-12-0","DTXSID201021653","DTXCID801506661","Linagliptin",1,"[H]N([H])[C@@]1([H])C([H])([H])N(C2=NC3=C(N2C([H])([H])C#CC([H])([H])[H])C(=O)N(C(=O)N3C([H])([H])[H])C([H])([H])C2=NC3=C([H])C([H])=C([H])C([H])=C3C(=N2)C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H]",FALSE,"Approved Name","LINAGLIPTIN",9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lisdexamfetamine dimesylate","608137-33-3","DTXSID60209653","DTXCID10132144","Lisdexamfetamine dimesylate",1,"CS(O)(=O)=O.CS(O)(=O)=O.C[C@@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CCCCN",FALSE,"Approved Name","LISDEXAMFETAMINE DIMESYLATE",9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"loratadine","79794-75-5","DTXSID2023224","DTXCID903224","Loratadine",1,"CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2",FALSE,"Integrated Source Name","LORATADINE",16,FALSE,"CCOC(=O)N1CCC(CC1)=C1C2N=CC=CC=2CCC2C=C(Cl)C=CC=21","CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1",NA,NA,3.679883371,0.268474048,50.43892219,0.194887579,8.775933827,0.971849586,79.24787501,0.141020344,"79794-75-5","Loratadine",3.679883371,0.268474048
"lorcaserin hydrochloride","846589-98-8","DTXSID60233650","DTXCID90156141","Lorcaserin hydrochloride",1,"Cl.C[C@H]1CNCCC2=C1C=C(Cl)C=C2",FALSE,"Approved Name","LORCASERIN HYDROCHLORIDE",9,FALSE,"CC1CNCCC2C=CC(Cl)=CC=21","C[C@H]1CNCCc2ccc(Cl)cc21.Cl",NA,NA,4.153478682,0.303026244,56.93033363,0.238238244,10.46245312,1.158615246,94.47737339,0.203513654,"846589-98-8","Lorcaserin hydrochloride",4.153478682,0.303026244
"lovastatin","75330-75-5","DTXSID5020784","DTXCID50784","Lovastatin",1,"[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC",FALSE,"Integrated Source Name","LOVASTATIN",16,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"macitentan","441798-33-0","DTXSID50196063","DTXCID60118554","Macitentan",1,"CCCNS(=O)(=O)NC1=C(C(OCCOC2=NC=C(Br)C=N2)=NC=N1)C1=CC=C(Br)C=C1",FALSE,"Approved Name","MACITENTAN",9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
