effect,category,hazard_sys_norm,type,n_clinset1,n_clinset2,n_clinsetnon
axon degeneration,NA,nervous,nonclinical,NA,NA,3
azoospermia,NA,reproductive,nonclinical,NA,NA,19
b lymphocytopenia,NA,immune,nonclinical,NA,NA,1
back pain,incidental,no category,clinical,10,3,NA
backpain,incidental,no category,clinical,1,NA,NA
bacteriuria,NA,no category,nonclinical,NA,NA,4
balance disorder,NA,nervous,clinical,NA,1,NA
balance disorders/fall,NA,nervous,clinical,1,NA,NA
"balance disorders/fall (fall, gait disturbance, dizziness, balance disorder)",NA,nervous,clinical,NA,NA,NA
basal cell carcinoma,NA,NA,clinical,NA,NA,NA
bicarbonate�decreased,NA,metabolic,clinical,NA,NA,NA
big ears,NA,no category,nonclinical,NA,NA,4
bile duct common dilatation,NA,hepatic,nonclinical,NA,NA,1
bile duct hyperplasia,NA,hepatic,nonclinical,NA,NA,26
bile duct inflammation,NA,hepatic,nonclinical,NA,NA,10
bile duct proliferation,NA,hepatic,nonclinical,NA,NA,5
bilirubin increase,NA,hepatic,clinical,11,5,NA
bladder and urethral symptoms,NA,renal,clinical,NA,NA,NA
bladder hemorrhage,NA,renal,nonclinical,NA,NA,6
bleeding,NA,no category,clinical,2,NA,NA
blepharitis,NA,ocular,nonclinical,NA,NA,1
blepharoptosis,NA,ocular,nonclinical,NA,NA,1
bloating,incidental,gastrointestinal,clinical,1,NA,NA
blood clot,NA,hematologic,nonclinical,NA,NA,2
blood cortisol decreased,NA,endocrine,clinical,NA,1,NA
blood creatine phosphokinase increase (d),NA,musculoskeletal,clinical,NA,NA,NA
blood creatinine increase,NA,renal,clinical,3,NA,NA
blood creatinine increased,NA,renal,clinical,NA,1,NA
blood creatinine phosphokinase increased,NA,renal,clinical,NA,1,NA
blood electrolytes increased,NA,hematologic,nonclinical,NA,NA,1
blood pressure change,NA,cardiovascular,clinical,8,NA,NA
blood pressure decrease,NA,cardiovascular,clinical,3,NA,NA
blood pressure increased,NA,cardiovascular,clinical,NA,NA,NA
blood triglycerides increased,NA,metabolic,clinical,NA,1,NA
blood urea increase,NA,renal,clinical,1,NA,NA
blood urea nitrogen change,NA,renal,clinical,8,NA,NA
blood urea nitrogen/creatinine ratio increased,NA,renal,nonclinical,NA,NA,4
blood urine,NA,renal,clinical,2,NA,NA
bloody discharge finding,NA,no category,nonclinical,NA,NA,1
blurred vision,NA,ocular,clinical,1,4,NA
blurry vision,NA,ocular,clinical,NA,NA,NA
body as a whole,NA,no category,clinical,NA,1,NA
body as a whole - general disorders chest pain,NA,no category,clinical,NA,NA,NA
body odor,incidental,no category,clinical,NA,NA,NA
bone degenerative changes,NA,musculoskeletal,nonclinical,NA,NA,9
bone discoloration,NA,musculoskeletal,nonclinical,NA,NA,2
bone hypertrophy,NA,musculoskeletal,nonclinical,NA,NA,2
bone marrow disorders,NA,hematologic,clinical,2,NA,NA
bone marrow failure,NA,musculoskeletal,nonclinical,NA,NA,10
bone marrow hemorrhage,NA,musculoskeletal,nonclinical,NA,NA,6
bone marrow hypercellularity,NA,musculoskeletal,nonclinical,NA,NA,13
bone marrow hyperplasia,NA,musculoskeletal,nonclinical,NA,NA,6
bone marrow hypocellularity,NA,musculoskeletal,nonclinical,NA,NA,35
bone necrosis,NA,musculoskeletal,nonclinical,NA,NA,2
bone pain,incidental,musculoskeletal,clinical,2,NA,NA
bone weight decrease,NA,musculoskeletal,nonclinical,NA,NA,2
both ovaries weight to body weight ratio,NA,reproductive,nonclinical,NA,NA,3
bradycardia,NA,cardiovascular,clinical,3,3,NA
brain inflammation,NA,nervous,nonclinical,NA,NA,2
brain vacuoles,NA,nervous,nonclinical,NA,NA,9
brain weight to body weight ratio,NA,nervous,nonclinical,NA,NA,1
breast decrease,NA,reproductive,clinical,1,NA,NA
breast pain,incidental,reproductive,clinical,NA,NA,NA
breast pain/tenderness/discomfort,incidental,reproductive,clinical,1,NA,NA
breast softer,incidental,reproductive,clinical,1,NA,NA
breathing abnormalities,NA,respiratory,clinical,NA,NA,NA
"broken, loose, or carious teeth",NA,dermal,nonclinical,NA,NA,4
bronchitis,incidental,respiratory,clinical,1,3,1
bruising (b),incidental,hematologic,clinical,NA,NA,NA
ca++ decreased,NA,metabolic,nonclinical,NA,NA,16
ca++ increased,NA,metabolic,nonclinical,NA,NA,14
cachexia,NA,no category,nonclinical,NA,NA,2
calcium decrease,NA,metabolic,clinical,1,NA,NA
calcium decreased,NA,metabolic,clinical,NA,2,NA
candida infection,incidental,no category,clinical,2,NA,NA
cardiac disorders,NA,cardiovascular,clinical,1,NA,NA
cardiac edema,NA,cardiovascular,nonclinical,NA,NA,2
cardiac fibrosis,NA,cardiovascular,nonclinical,NA,NA,12
cardiac intervention,NA,cardiovascular,clinical,NA,1,NA
cardiac muscle tissue regeneration,NA,cardiovascular,nonclinical,NA,NA,2
cardiac terms,NA,cardiovascular,clinical,1,NA,NA
cardiac troponin i elevated,NA,cardiovascular,clinical,1,NA,NA
cardiac hypertension,NA,cardiovascular,clinical,NA,NA,NA
cardial atrophy,NA,cardiovascular,nonclinical,NA,NA,1
cardiomyocyte degeneration,NA,cardiovascular,nonclinical,NA,NA,3
cardiomyopathy,NA,cardiovascular,nonclinical,NA,NA,8
cardiovascular events,NA,cardiovascular,clinical,1,NA,NA
cardiovascular toxicity,NA,cardiovascular,clinical,NA,16,NA
carious teeth,NA,dermal,nonclinical,NA,NA,1
cartilaginous metaplasia,NA,no category,nonclinical,NA,NA,1
casts in urine sediment,NA,renal,nonclinical,NA,NA,5
cataract,NA,ocular,nonclinical,NA,NA,17
cataracts,NA,ocular,clinical,1,NA,NA
catheter site haematoma,incidental,no category,clinical,1,NA,NA
catheter site pain,incidental,no category,clinical,1,NA,NA
cecum discoloration,NA,gastrointestinal,nonclinical,NA,NA,1
cecum hypertrophy,NA,gastrointestinal,nonclinical,NA,NA,2
cecum inflammation,NA,gastrointestinal,nonclinical,NA,NA,10
central nervous system depression (disorder),NA,nervous,nonclinical,NA,NA,1
cerebellar coordination and balance disturbances*,NA,nervous,clinical,NA,1,NA
cerebral edema,NA,nervous,nonclinical,NA,NA,1
change in potassium,NA,metabolic,clinical,1,NA,NA
change in pr interval,NA,cardiovascular,clinical,2,NA,NA
change in qt interval,NA,cardiovascular,clinical,1,NA,NA
change in rbc,NA,hematologic,clinical,1,NA,NA
changes in organ weight,NA,no category,nonclinical,NA,NA,1
chest pain,incidental,no category,clinical,3,3,NA
chest pain,incidental,no category,clinical,3,3,NA
chills,incidental,no category,clinical,1,2,NA
cholesterol,NA,metabolic,clinical,1,NA,NA
cholesterol abnormal,NA,metabolic,clinical,1,NA,NA
cholesterol increase,NA,metabolic,clinical,2,NA,NA
cholesterol increased,NA,metabolic,clinical,NA,2,NA
chromatolysis,NA,no category,nonclinical,NA,NA,1
chromodacryorrhea,NA,ocular,nonclinical,NA,NA,42
chronic inflammation,NA,no category,nonclinical,NA,NA,2
circumoral paraesthesia,NA,no category,clinical,NA,1,NA
closure,NA,no category,nonclinical,NA,NA,5
cloudy urine,NA,renal,nonclinical,NA,NA,8
coagulation time shortened,NA,hematologic,nonclinical,NA,NA,2
cognitive abnormality,NA,nervous,clinical,1,NA,NA
cognitive and attention disorders,NA,nervous,clinical,NA,1,NA
cognitive and attention disorders (3),NA,nervous,clinical,NA,NA,NA
cognitive problems,NA,nervous,clinical,NA,NA,NA
colitis,NA,gastrointestinal,clinical,NA,NA,2
colitis,NA,gastrointestinal,nonclinical,NA,NA,2
colitis ulcerative,NA,gastrointestinal,clinical,1,NA,NA
colloid alteration,NA,endocrine,nonclinical,NA,NA,17
colorless urine,NA,renal,nonclinical,NA,NA,1
computed tomography of abdomen: thickened wall of duodenum,NA,gastrointestinal,nonclinical,NA,NA,4
computed tomography of abdomen: thickened wall of stomach,NA,gastrointestinal,nonclinical,NA,NA,2
conduction disorder,NA,cardiovascular,clinical,1,NA,NA
condyloma acuminatum,NA,no category,clinical,NA,NA,NA
confusion,NA,nervous,clinical,1,2,NA
confusional state,NA,nervous,clinical,NA,1,NA
congestion,NA,no category,nonclinical,NA,NA,9
congestion of spleen,NA,immune,nonclinical,NA,NA,8
conjunctivitis,incidental,ocular,clinical,NA,1,3
conjunctivitis,NA,ocular,nonclinical,NA,1,3
constipation,incidental,gastrointestinal,clinical,29,31,5
constipation,NA,gastrointestinal,nonclinical,29,31,5
contact dermatitis,incidental,dermal,clinical,NA,NA,NA
contusion,NA,no category,clinical,NA,NA,NA
convulsive seizures,NA,nervous,nonclinical,NA,NA,40
coordination abnormal,NA,nervous,clinical,NA,2,NA
cornea edema,NA,ocular,nonclinical,NA,NA,1
corneal abnormalities ß,NA,ocular,clinical,NA,1,NA
corneal degeneration,NA,ocular,nonclinical,NA,NA,1
corneal epithelium hyperplasia,NA,ocular,nonclinical,NA,NA,2
corneal opacity,NA,ocular,nonclinical,NA,NA,13
corpus luteum cyst,NA,reproductive,nonclinical,NA,NA,1
cortical and subcortical atrophy,NA,no category,nonclinical,NA,NA,1
costipation,incidental,gastrointestinal,clinical,2,NA,NA
cough,incidental,respiratory,clinical,15,4,NA
cough increased,incidental,respiratory,clinical,NA,1,NA
cough/productive cough,incidental,respiratory,clinical,NA,1,NA
coughing,incidental,respiratory,clinical,1,NA,NA
coughing and associated symptoms,incidental,respiratory,clinical,NA,1,NA
cpk >1000 u/l,NA,musculoskeletal,clinical,NA,1,NA
cpk >1000 u/l (high),NA,musculoskeletal,clinical,NA,NA,NA
cpk decrease,NA,musculoskeletal,clinical,1,NA,NA
cpk elevation,NA,musculoskeletal,clinical,2,NA,NA
cpk increase,NA,musculoskeletal,clinical,2,NA,NA
cr 1.5-<3x baseline,NA,renal,clinical,NA,NA,NA
cr increase,NA,renal,clinical,1,NA,NA
crackles,NA,no category,nonclinical,NA,NA,5
cramps,incidental,no category,clinical,NA,NA,NA
cranial injury nos,incidental,no category,clinical,NA,NA,NA
creatine kinase,NA,musculoskeletal,clinical,1,NA,NA
creatine kinase elevation,NA,musculoskeletal,clinical,1,NA,NA
creatine phosphokinase > 1.5x upper limit of normal,NA,musculoskeletal,clinical,NA,NA,NA
creatine phosphokinase increase,NA,musculoskeletal,clinical,2,NA,NA
creatinine,NA,renal,clinical,3,NA,NA
creatinine above threshold,NA,renal,clinical,1,NA,NA
creatinine clearance,NA,renal,clinical,1,NA,NA
creatinine elevation,NA,musculoskeletal,clinical,2,NA,NA
creatinine increase,NA,renal,clinical,4,NA,NA
creatinine increased,NA,renal,clinical,NA,3,NA
creatinine increase,NA,renal,clinical,NA,1,NA
crystalluria,NA,renal,nonclinical,NA,NA,18
cuboidal epithelium,NA,no category,nonclinical,NA,NA,1
curly tail,NA,no category,nonclinical,NA,NA,2
cyanosis,NA,no category,nonclinical,NA,NA,2
cyst,NA,no category,nonclinical,NA,NA,1
cystolithiasis,NA,renal,nonclinical,NA,NA,6
cytoplasmic vacuolation,NA,no category,nonclinical,NA,NA,5
dark urine,NA,renal,nonclinical,NA,NA,2
dark yellow urine,NA,renal,nonclinical,NA,NA,2
death,NA,no category,clinical,NA,1,NA
decidualization,NA,no category,nonclinical,NA,NA,1
decrease absolute neutrophil count,NA,hematologic,clinical,1,NA,NA
decrease apetite,NA,metabolic,clinical,1,NA,NA
decrease hematocrit,NA,hematologic,clinical,1,NA,NA
decrease in absolute neutrophil count,NA,hematologic,clinical,NA,1,NA
decrease in blood pressure,NA,cardiovascular,clinical,1,NA,NA
decrease in calcium,NA,metabolic,clinical,1,NA,NA
decrease in fasting glucose,NA,metabolic,clinical,2,NA,NA
decrease in hemoglobin,NA,hematologic,clinical,NA,4,NA
decrease in hemoglobin to below 10.0 g/dl,NA,hematologic,clinical,NA,1,NA
decrease in leukocytes,NA,hematologic,clinical,NA,2,NA
decrease in lymphocytes,NA,hematologic,clinical,NA,4,NA
decrease in platelets,NA,hematologic,clinical,NA,2,NA
decrease in rbc,NA,hematologic,clinical,1,NA,NA
decrease in serum phosphorus,NA,metabolic,clinical,1,NA,NA
decrease in triglycerides,NA,metabolic,clinical,2,NA,NA
decrease lymphocyte,NA,hematologic,clinical,3,NA,NA
decrease lymphocytes,NA,hematologic,clinical,1,NA,NA
decrease neutrophil,NA,hematologic,clinical,1,NA,NA
decrease neutrophils,NA,hematologic,clinical,1,NA,NA
decrease platelet count,NA,hematologic,clinical,1,NA,NA
decrease red blood cell count,NA,hematologic,clinical,1,NA,NA
decrease sodium,NA,metabolic,clinical,1,NA,NA
decrease t4,NA,endocrine,clinical,1,NA,NA
decrease uric acid,NA,metabolic,clinical,2,NA,NA
decrease vitamin d,NA,metabolic,clinical,2,NA,NA
decrease wbc,NA,hematologic,clinical,2,NA,NA
decrease wbc counts,NA,hematologic,clinical,1,NA,NA
decreased abdominal fat pad weight,NA,metabolic,nonclinical,NA,NA,2
decreased accommodation,NA,no category,clinical,1,NA,NA
decreased activated sperm motility,NA,reproductive,nonclinical,NA,NA,8
decreased activity of thyroid gland,NA,endocrine,nonclinical,NA,NA,2
decreased adipose tissue,NA,metabolic,nonclinical,NA,NA,5
decreased adrenal gland weight,NA,endocrine,nonclinical,NA,NA,49
decreased alkaline phosphatase activity,NA,hepatic,nonclinical,NA,NA,7
decreased apetite,NA,metabolic,clinical,1,NA,NA
decreased appetite,NA,metabolic,clinical,13,13,NA
decreased appetite + anorexia,NA,metabolic,clinical,2,NA,NA
decreased appetite and food intake,NA,metabolic,clinical,NA,1,NA
decreased appetite/anorexia,NA,metabolic,clinical,NA,NA,NA
decreased appitite,NA,metabolic,clinical,NA,NA,NA
decreased a-wave amplitude,NA,no category,nonclinical,NA,NA,1
decreased basophil cell number,NA,hematologic,nonclinical,NA,NA,22
decreased blood urea nitrogen level,NA,renal,nonclinical,NA,NA,42
decreased body temperature,NA,no category,nonclinical,NA,NA,79
decreased body weight,NA,metabolic,nonclinical,NA,NA,576
decreased bone marrow cell number,NA,musculoskeletal,nonclinical,NA,NA,4
decreased bone mineral content,NA,musculoskeletal,nonclinical,NA,NA,2
decreased bone mineral density,NA,musculoskeletal,nonclinical,NA,NA,6
decreased bone mineral density of femur,NA,musculoskeletal,nonclinical,NA,NA,1
decreased bone strength,NA,musculoskeletal,nonclinical,NA,NA,2
decreased brain weight,NA,nervous,nonclinical,NA,NA,22
decreased brown fat cell lipid droplet size,NA,metabolic,nonclinical,NA,NA,4
decreased brown fat cell size,NA,metabolic,nonclinical,NA,NA,1
decreased b-wave amplitude,NA,no category,nonclinical,NA,NA,1
decreased calcium,NA,metabolic,clinical,1,NA,NA
decreased cell mass,NA,no category,nonclinical,NA,NA,1
decreased cellular hemoglobin content,NA,hematologic,nonclinical,NA,NA,8
decreased choline level,NA,no category,nonclinical,NA,NA,1
decreased cholinesterase activity,NA,nervous,nonclinical,NA,NA,3
decreased circulating alanine transaminase level,NA,hepatic,nonclinical,NA,NA,41
decreased circulating aldosterone level,NA,endocrine,nonclinical,NA,NA,3
decreased circulating alkaline phosphatase level,NA,hepatic,nonclinical,NA,NA,62
decreased circulating amylase level,NA,gastrointestinal,nonclinical,NA,NA,2
decreased circulating aspartate transaminase level,NA,hepatic,nonclinical,NA,NA,45
decreased circulating bicarbonate level,NA,metabolic,nonclinical,NA,NA,2
decreased circulating bilirubin level,NA,hepatic,nonclinical,NA,NA,41
decreased circulating calcium level,NA,metabolic,nonclinical,NA,NA,38
decreased circulating chloride level,NA,metabolic,nonclinical,NA,NA,50
decreased circulating cholesterol level,NA,metabolic,nonclinical,NA,NA,105
decreased circulating creatine kinase level,NA,musculoskeletal,nonclinical,NA,NA,14
decreased circulating creatinine level,NA,renal,nonclinical,NA,NA,49
decreased circulating fibrinogen level,NA,hematologic,nonclinical,NA,NA,4
decreased circulating free fatty acids level,NA,metabolic,nonclinical,NA,NA,2
decreased circulating globulin level,NA,hematologic,nonclinical,NA,NA,74
decreased circulating glucose level,NA,metabolic,nonclinical,NA,NA,99
decreased circulating glutamate dehydrogenase level,NA,metabolic,nonclinical,NA,NA,3
decreased circulating glycerol level,NA,metabolic,nonclinical,NA,NA,5
decreased circulating hdl cholesterol level,NA,metabolic,nonclinical,NA,NA,3
decreased circulating insulin level,NA,metabolic,nonclinical,NA,NA,2
decreased circulating lactate dehydrogenase level,NA,metabolic,nonclinical,NA,NA,8
decreased circulating ldl cholesterol level,NA,metabolic,nonclinical,NA,NA,1
decreased circulating magnesium level,NA,no category,nonclinical,NA,NA,2
decreased circulating parathyroid hormone level,NA,endocrine,nonclinical,NA,NA,4
decreased circulating phosphate level,NA,metabolic,nonclinical,NA,NA,31
decreased circulating phospholipid level,NA,metabolic,nonclinical,NA,NA,17
decreased circulating potassium level,NA,metabolic,nonclinical,NA,NA,60
decreased circulating prolactin level,NA,endocrine,nonclinical,NA,NA,2
decreased circulating serum albumin level,NA,metabolic,nonclinical,NA,NA,141
decreased circulating sodium level,NA,metabolic,nonclinical,NA,NA,46
decreased circulating testosterone level,NA,reproductive,nonclinical,NA,NA,5
decreased circulating thyroxine level,NA,endocrine,nonclinical,NA,NA,13
decreased circulating total protein level,NA,metabolic,nonclinical,NA,NA,136
decreased circulating triglyceride level,NA,metabolic,nonclinical,NA,NA,158
decreased circulating triiodothyronine level,NA,endocrine,nonclinical,NA,NA,11
decreased corpora lutea number,NA,reproductive,nonclinical,NA,NA,18
decreased creatinine clearance,NA,renal,nonclinical,NA,NA,1
decreased defecation amount,NA,gastrointestinal,nonclinical,NA,NA,30
decreased diastolic blood pressure,NA,cardiovascular,nonclinical,NA,NA,1
decreased energy expenditure,NA,no category,nonclinical,NA,NA,4
decreased eosinophil cell number,NA,hematologic,nonclinical,NA,NA,49
decreased epididymis weight,NA,reproductive,nonclinical,NA,NA,47
decreased erythrocyte cell number,NA,hematologic,nonclinical,NA,NA,35
decreased fetal weight,NA,reproductive,nonclinical,NA,NA,1
decreased fluid intake,NA,no category,nonclinical,NA,NA,18
decreased food intake,NA,metabolic,nonclinical,NA,NA,419
decreased germ cell number,NA,reproductive,nonclinical,NA,NA,2
decreased granulocyte number,NA,no category,nonclinical,NA,NA,1
decreased grip strength,NA,nervous,nonclinical,NA,NA,4
decreased grooming behavior,NA,nervous,nonclinical,NA,NA,1
decreased hair follicle number,NA,reproductive,nonclinical,NA,NA,1
decreased heart rate,NA,cardiovascular,nonclinical,NA,NA,6
decreased heart weight,NA,cardiovascular,nonclinical,NA,NA,69
decreased hematocrit,NA,hematologic,nonclinical,NA,NA,184
decreased hematopoietic cell number,NA,hematologic,nonclinical,NA,NA,4
decreased hemoglobin concentration,NA,hematologic,nonclinical,NA,NA,227
decreased igg level,NA,immune,nonclinical,NA,NA,1
decreased kidney weight,NA,renal,nonclinical,NA,NA,57
decreased large unstained cell number,NA,no category,nonclinical,NA,NA,6
decreased leukocyte cell number,NA,hematologic,nonclinical,NA,NA,26
decreased libido,NA,reproductive,clinical,NA,NA,NA
decreased liver glycogen level,NA,hepatic,nonclinical,NA,NA,3
decreased liver weight,NA,hepatic,nonclinical,NA,NA,72
decreased lung weight,NA,respiratory,nonclinical,NA,NA,7
decreased lvef,NA,cardiovascular,clinical,1,NA,NA
decreased lymph node number,NA,hematologic,nonclinical,NA,NA,5
"decreased lymphatic tissue (tonsil, thymus, mesenteric nodes, peyer patches)",NA,immune,nonclinical,NA,NA,1
decreased lymphocyte cell number,NA,hematologic,nonclinical,NA,NA,227
decreased male germ cell number,NA,reproductive,nonclinical,NA,NA,30
decreased mast cell number,NA,immune,nonclinical,NA,NA,1
decreased mean corpuscular hemoglobin,NA,hematologic,nonclinical,NA,NA,53
decreased mean corpuscular hemoglobin concentration,NA,hematologic,nonclinical,NA,NA,18
decreased mean corpuscular volume,NA,hematologic,nonclinical,NA,NA,58
decreased mean platelet volume,NA,hematologic,nonclinical,NA,NA,6
decreased mean systemic arterial blood pressure,NA,cardiovascular,nonclinical,NA,NA,1
decreased monocyte cell number,NA,hematologic,nonclinical,NA,NA,34
decreased myeloid cell number in bone marrow,NA,musculoskeletal,nonclinical,NA,NA,4
decreased nerve conduction velocity,NA,nervous,nonclinical,NA,NA,1
decreased neutrophil cell number,NA,hematologic,nonclinical,NA,NA,42
decreased neutrophil count,NA,hematologic,clinical,NA,NA,NA
decreased neutrophils,NA,hematologic,clinical,1,NA,NA
decreased nk cell number,NA,immune,nonclinical,NA,NA,2
decreased ovary weight,NA,reproductive,nonclinical,NA,NA,39
decreased pancreas weight,NA,endocrine,nonclinical,NA,NA,7
decreased pancreatic acinar cell zymogen granule number,NA,endocrine,nonclinical,NA,NA,4
decreased partial thromboplastin time,NA,hematologic,nonclinical,NA,NA,16
decreased phosphate,NA,metabolic,clinical,NA,1,NA
decreased phosphorus,NA,metabolic,clinical,1,NA,NA
decreased pituitary gland weight,NA,endocrine,nonclinical,NA,NA,63
decreased platelets,NA,hematologic,clinical,1,NA,NA
decreased potassium,NA,metabolic,clinical,1,NA,NA
decreased proportion of cd4-positive t cells,NA,immune,nonclinical,NA,NA,1
decreased proportion of cd8-positive t cells,NA,immune,nonclinical,NA,NA,1
decreased prostate gland weight,NA,reproductive,nonclinical,NA,NA,91
decreased prothrombin time,NA,hematologic,nonclinical,NA,NA,23
decreased pulmonary respiratory rate,NA,respiratory,nonclinical,NA,NA,9
decreased pulse rate,NA,cardiovascular,clinical,1,NA,NA
decreased red blood cell count,NA,hematologic,nonclinical,NA,NA,204
decreased red blood cell distribution width,NA,hematologic,nonclinical,NA,NA,3
decreased seminal vesicle weight,NA,reproductive,nonclinical,NA,NA,28
decreased skin turgor,NA,dermal,nonclinical,NA,NA,2
decreased sodium,NA,metabolic,clinical,1,NA,NA
decreased spleen germinal center number,NA,immune,nonclinical,NA,NA,1
decreased spleen weight,NA,immune,nonclinical,NA,NA,122
decreased splenocyte number,NA,immune,nonclinical,NA,NA,1
decreased susceptibility to weight gain,NA,metabolic,nonclinical,NA,NA,283
decreased systemic arterial systolic blood pressure,NA,cardiovascular,nonclinical,NA,NA,3
decreased systolic blood pressure,NA,cardiovascular,clinical,1,NA,NA
decreased t cell number,NA,immune,nonclinical,NA,NA,3
decreased testis weight,NA,reproductive,nonclinical,NA,NA,79
"decreased thickness, physis",NA,no category,nonclinical,NA,NA,2
decreased thymocyte apoptosis,NA,immune,nonclinical,NA,NA,2
decreased thymus weight,NA,immune,nonclinical,NA,NA,245
decreased thyroid gland weight,NA,endocrine,nonclinical,NA,NA,33
decreased thyroid hormone secretion,NA,endocrine,nonclinical,NA,NA,1
decreased trabecular bone mass,NA,musculoskeletal,nonclinical,NA,NA,5
decreased urine aldosterone level,NA,renal,nonclinical,NA,NA,1
decreased urine chloride ion level,NA,renal,nonclinical,NA,NA,6
decreased urine creatinine level,NA,renal,nonclinical,NA,NA,13
decreased urine flow rate,NA,renal,nonclinical,NA,NA,46
decreased urine magnesium level,NA,renal,nonclinical,NA,NA,5
decreased urine osmolality,NA,renal,nonclinical,NA,NA,15
decreased urine ph,NA,renal,nonclinical,NA,NA,49
decreased urine phosphate level,NA,renal,nonclinical,NA,NA,3
decreased urine potassium level,NA,renal,nonclinical,NA,NA,16
decreased urine protein level,NA,renal,nonclinical,NA,NA,4
decreased urine sodium level,NA,renal,nonclinical,NA,NA,17
decreased uterus weight,NA,reproductive,nonclinical,NA,NA,77
decreased white adipose tissue amount,NA,metabolic,nonclinical,NA,NA,2
decreased white blood cells,NA,hematologic,clinical,1,NA,NA
decreased white fat cell lipid droplet size,NA,metabolic,nonclinical,NA,NA,3
decreased white fat cell number,NA,metabolic,nonclinical,NA,NA,1
decreased white fat cell size,NA,metabolic,nonclinical,NA,NA,1
"decreased, follicle size",NA,reproductive,nonclinical,NA,NA,1
deep thrombophlebitis,NA,cardiovascular,clinical,1,NA,NA
deep vein thrombosis,NA,cardiovascular,clinical,NA,2,NA
degeneration,NA,no category,nonclinical,NA,NA,18
degeneration of germ cells,NA,reproductive,nonclinical,NA,NA,6
dehydration,NA,metabolic,clinical,1,1,31
dehydration,NA,metabolic,nonclinical,1,1,31
demyelination,NA,nervous,nonclinical,NA,NA,1
dental and oral infections,incidental,no category,clinical,NA,1,NA
dental and oral infections (h),incidental,no category,clinical,NA,NA,NA
dental pulp stones,NA,dermal,nonclinical,NA,NA,3
dependent edema,incidental,no category,clinical,NA,NA,NA
depersonalization,NA,nervous,clinical,NA,NA,NA
depressed mood,NA,nervous,clinical,NA,NA,NA
depression,NA,nervous,clinical,6,5,NA
"depression, depressed mood",NA,nervous,clinical,NA,NA,NA
depression/ dysthymic disorder,NA,nervous,clinical,NA,NA,NA
depression/psychotic depression,NA,nervous,clinical,1,NA,NA
dermal atrophy,NA,dermal,nonclinical,NA,NA,9
dermal papilla,NA,dermal,nonclinical,NA,NA,1
dermatitis,NA,dermal,nonclinical,NA,NA,8
dermatitis acneiform,NA,dermal,clinical,2,NA,NA
dermatitis acneiform/acne,NA,dermal,clinical,NA,1,NA
dermatitis contact,incidental,dermal,clinical,1,NA,NA
dermatitis exfoliative,NA,dermal,clinical,1,NA,NA
dermatitis fungal,NA,dermal,clinical,NA,NA,NA
dermatitis/rash,NA,dermal,clinical,1,NA,NA
dermatologic disorders,NA,dermal,nonclinical,NA,NA,2
dermatological toxicity,NA,dermal,clinical,NA,1,NA
dermatology rash skin discolouration hand-foot syndrome,NA,dermal,clinical,NA,NA,NA
device related infection,incidental,no category,clinical,1,NA,NA
device-related infection,incidental,no category,clinical,NA,1,NA
diabetes mellitus,NA,metabolic,clinical,NA,2,NA
dialysis graft occlusion,incidental,no category,clinical,NA,1,NA
diarrhea,NA,gastrointestinal,clinical,54,30,35
diarrhea,NA,gastrointestinal,nonclinical,54,30,35
diarrhea (b),NA,gastrointestinal,clinical,NA,NA,NA
diarrhea (c),NA,gastrointestinal,clinical,NA,NA,NA
diarrhea *,NA,gastrointestinal,clinical,NA,2,NA
diarrhea/colitis,NA,gastrointestinal,clinical,NA,2,NA
diarrheaa,NA,gastrointestinal,clinical,NA,2,NA
diarrhea b,NA,gastrointestinal,clinical,NA,1,NA
diarrhoea,NA,gastrointestinal,clinical,1,4,NA
diarrhoea nausea mucositis/stomatitis vomiting constipation abdominal pain (c),NA,gastrointestinal,clinical,NA,1,NA
difficulty concentrating,NA,nervous,clinical,NA,2,NA
difficulty with concentration/attention,NA,nervous,clinical,NA,3,NA
difficulty with memory,NA,nervous,clinical,NA,4,NA
dilatation,NA,no category,nonclinical,NA,NA,5
dilatation of the renal pelvis,NA,renal,nonclinical,NA,NA,21
dilated bile duct,NA,hepatic,nonclinical,NA,NA,4
dilated brain ventricles,NA,nervous,nonclinical,NA,NA,3
dilated brunner's glands,NA,gastrointestinal,nonclinical,NA,NA,1
dilated gastric glands,NA,gastrointestinal,nonclinical,NA,NA,13
dilated gastrointestinal tract,NA,gastrointestinal,nonclinical,NA,NA,13
dilated hair follicles,NA,reproductive,nonclinical,NA,NA,1
dilated kidney collecting duct,NA,renal,nonclinical,NA,NA,7
dilated liver sinusoidal spaces,NA,hepatic,nonclinical,NA,NA,3
dilated renal tubules,NA,renal,nonclinical,NA,NA,27
dilated rete testis,NA,reproductive,nonclinical,NA,NA,2
dilated seminiferous tubules,NA,reproductive,nonclinical,NA,NA,2
dilated uterus,NA,reproductive,nonclinical,NA,NA,22
dimethylnitrosamine demethylase activity,NA,no category,nonclinical,NA,NA,1
diplopia,NA,ocular,clinical,2,6,NA
discharge around mouth,NA,no category,nonclinical,NA,NA,28
discoloration of kidney,NA,renal,nonclinical,NA,NA,33
discoloration of liver,NA,hepatic,nonclinical,NA,NA,46
discoloration of lung,NA,respiratory,nonclinical,NA,NA,42
discoloration of multiple teeth,NA,dermal,nonclinical,NA,NA,5
discoloration of spleen,NA,immune,nonclinical,NA,NA,13
discolored,NA,no category,nonclinical,NA,NA,14
